epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,25025.7,1.1478,0.67408,1.20823,0.89054,0.86617,0.90654,0.63577,1.13297,0.57873,1.22696,0.000527556,0.000527556,0.000527556
109,25262.8,1.14858,0.67567,1.21496,0.891,0.86629,0.90708,0.63706,1.13192,0.57906,1.22635,0.000515664,0.000515664,0.000515664
110,25496.5,1.14428,0.67288,1.20914,0.88998,0.86622,0.9065,0.63775,1.13195,0.57761,1.22617,0.000503772,0.000503772,0.000503772
111,25730.9,1.14272,0.66538,1.20651,0.89138,0.86865,0.90816,0.63847,1.13277,0.57775,1.22669,0.00049188,0.00049188,0.00049188
112,25971,1.13801,0.66601,1.20283,0.89171,0.871,0.90631,0.6379,1.13211,0.57642,1.2258,0.000479988,0.000479988,0.000479988
113,26208.4,1.1408,0.66506,1.20613,0.89166,0.87101,0.90775,0.63774,1.1321,0.57585,1.22596,0.000468096,0.000468096,0.000468096
114,26445.2,1.13319,0.66728,1.20122,0.89158,0.87023,0.90607,0.63876,1.13091,0.57505,1.2254,0.000456204,0.000456204,0.000456204
115,26682.1,1.14136,0.66789,1.2089,0.89197,0.86886,0.90733,0.63892,1.13056,0.57413,1.2244,0.000444312,0.000444312,0.000444312
116,26920.1,1.13545,0.66017,1.20587,0.89147,0.86951,0.90555,0.63834,1.12979,0.5736,1.2238,0.00043242,0.00043242,0.00043242
117,27159.1,1.12863,0.65527,1.19725,0.89237,0.86864,0.90564,0.63923,1.12975,0.57187,1.22397,0.000420528,0.000420528,0.000420528
118,27395.9,1.12125,0.65573,1.19241,0.89387,0.87016,0.90546,0.63915,1.12911,0.5731,1.22304,0.000408636,0.000408636,0.000408636
119,27631.8,1.12776,0.65736,1.2003,0.89257,0.86971,0.90564,0.63928,1.12909,0.57282,1.22304,0.000396744,0.000396744,0.000396744
120,27870.8,1.11195,0.64921,1.19292,0.89227,0.86913,0.90554,0.63877,1.12856,0.5726,1.22295,0.000384852,0.000384852,0.000384852
121,28111.7,1.12149,0.65535,1.19539,0.89222,0.86911,0.90567,0.6387,1.12845,0.57229,1.22259,0.00037296,0.00037296,0.00037296
122,28352.7,1.11892,0.64808,1.19448,0.89496,0.86891,0.90584,0.63866,1.12842,0.57181,1.22234,0.000361068,0.000361068,0.000361068
123,28592.5,1.12249,0.65232,1.19837,0.89466,0.86893,0.90575,0.63864,1.12822,0.57178,1.22243,0.000349176,0.000349176,0.000349176
124,28833.5,1.11985,0.64655,1.19571,0.89324,0.86887,0.90537,0.63893,1.12876,0.57157,1.22269,0.000337284,0.000337284,0.000337284
125,29071.8,1.11068,0.64582,1.19133,0.89295,0.86889,0.90531,0.63788,1.12811,0.57071,1.22282,0.000325392,0.000325392,0.000325392
126,29313.3,1.11172,0.64625,1.19041,0.89292,0.86897,0.9049,0.63817,1.12779,0.57098,1.2228,0.0003135,0.0003135,0.0003135
127,29551.3,1.09852,0.63554,1.18355,0.89409,0.86866,0.90479,0.63845,1.12749,0.57047,1.22268,0.000301608,0.000301608,0.000301608
128,29786.6,1.10245,0.64047,1.18541,0.89427,0.86856,0.90461,0.63791,1.12726,0.56991,1.22223,0.000289716,0.000289716,0.000289716
129,30021.5,1.10657,0.64416,1.18682,0.89314,0.86917,0.9048,0.63806,1.12688,0.57019,1.22197,0.000277824,0.000277824,0.000277824
130,30254.1,1.10576,0.63591,1.18791,0.89327,0.86915,0.90509,0.63833,1.12696,0.56989,1.22179,0.000265932,0.000265932,0.000265932
131,30488,1.09025,0.62412,1.17968,0.89269,0.86829,0.90358,0.63799,1.12695,0.56971,1.22134,0.00025404,0.00025404,0.00025404
132,30724,1.09785,0.63915,1.18072,0.8932,0.86719,0.9036,0.6385,1.12663,0.56976,1.22169,0.000242148,0.000242148,0.000242148
